ItemInfoList (WoodcutterExcludedResources) amount: 6
 - ItemInfo (Item_Wood_Beam) components: 1
 - - Components item info (Item_Wood_Firewood) quantity: 4 chance: 1
 - ItemInfo (Item_Wood_Plank) components: 1
 - - Components item info (Item_Wood_Firewood) quantity: 4 chance: 1
 - ItemInfo (Item_Wood_Post) components: 1
 - - Components item info (Item_Wood_Firewood) quantity: 6 chance: 1
 - ItemInfo (Item_Wood_PlankLong) components: 1
 - - Components item info (Item_Wood_Firewood) quantity: 2 chance: 1
 - ItemInfo (Item_Wood_PlankSmall) components: 0
 - ItemInfo (Item_Wood_Shaft) components: 0
ItemInfoList (StartBlueprints) amount: 179
 - ItemInfo (Item_Binders_BasicRope) components: 0
 - ItemInfo (Item_Bushcraft_FlimsyWaterPouch) components: 0
 - ItemInfo (Item_Bushcraft_SimpleFire) components: 0
 - ItemInfo (Item_Structures_ShelterL1) components: 0
 - ItemInfo (Item_Structures_Settlement) components: 0
 - ItemInfo (Item_Structures_WoodCutterL0) components: 0
 - ItemInfo (Item_Structures_WoodCutterL1) components: 0
 - ItemInfo (Item_Structures_GathererL0) components: 0
 - ItemInfo (Item_Structures_GathererL1) components: 0
 - ItemInfo (Item_Structures_StoneCutterL0) components: 0
 - ItemInfo (Item_Structures_StoneCutterL1) components: 0
 - ItemInfo (Item_Structures_WorkshopL1) components: 0
 - ItemInfo (Item_Structures_HunterL1) components: 0
 - ItemInfo (Item_Structures_HouseL1) components: 0
 - ItemInfo (Item_Structures_WaterCollectorL1) components: 0
 - ItemInfo (Item_Tools_WoodHoe) components: 0
 - ItemInfo (Item_Tools_StoneAxe) components: 0
 - ItemInfo (Item_Tools_StonePickaxe) components: 0
 - ItemInfo (Item_Tools_WoodHammer) components: 0
 - ItemInfo (Item_Tools_StoneKnife) components: 0
 - ItemInfo (Item_Tools_SimpleTorch) components: 0
 - ItemInfo (Item_Tools_FlimsyFishingRodBP) components: 0
 - ItemInfo (Item_Weaponry_1HFlimsyClub) components: 0
 - ItemInfo (Item_Weaponry_1HSimpleSpikedClub) components: 0
 - ItemInfo (Item_Weaponry_Shield1) components: 0
 - ItemInfo (Item_Weaponry_FlimsyBow) components: 0
 - ItemInfo (Item_Weaponry_WoodArrow) components: 0
 - ItemInfo (Item_Weaponry_WoodArrowBone) components: 0
 - ItemInfo (Item_Walls_GateL1) components: 0
 - ItemInfo (Item_Walls_HedgeWallL1) components: 0
 - ItemInfo (Item_Walls_HedgeWallShort L1) components: 0
 - ItemInfo (Item_Walls_TowerL1) components: 0
 - ItemInfo (Item_Markers_WoodHarvestMarker) components: 0
 - ItemInfo (Item_Materials_StoneBlade) components: 0
 - ItemInfo (Item_Markers_FoodForagingMarker) components: 0
 - ItemInfo (Item_Binders_5xBasicRope) components: 0
 - ItemInfo (Item_Materials_5x StoneBlade) components: 0
 - ItemInfo (Item_Markers_StoneHarvestMarker) components: 0
 - ItemInfo (Item_Shipmaking_Base Ship) components: 0
 - ItemInfo (Item_Addons_HouseL2_2x1) components: 0
 - ItemInfo (Item_Lights_FlimsyTorch) components: 0
 - ItemInfo (Item_Walls_FlimsyFence) components: 0
 - ItemInfo (Item_Walls_Watchtower) components: 0
 - ItemInfo (Item_Addons_WatchtowerRoof) components: 0
 - ItemInfo (Item_Addons_WatchtowerReinforcement) components: 0
 - ItemInfo (Item_Markers_HuntingMarker) components: 0
 - ItemInfo (Item_Shipmaking_Small Ship) components: 0
 - ItemInfo (Item_Structures_Kennel) components: 0
 - ItemInfo (Item_Structures_FishermanHut) components: 0
 - ItemInfo (Item_Bushcraft_DogTrap) components: 0
 - ItemInfo (Item_Bushcraft_ImprovedFire) components: 0
 - ItemInfo (Item_Addons_Dyer) components: 0
 - ItemInfo (Item_Furniture_SmallFireplace) components: 0
 - ItemInfo (Item_Furniture_Bed) components: 0
 - ItemInfo (Item_Furniture_Sideshelf1) components: 0
 - ItemInfo (Item_Furniture_Sideshelf3) components: 0
 - ItemInfo (Item_Furniture_SeparatorB) components: 0
 - ItemInfo (Item_Furniture_SeparatorA) components: 0
 - ItemInfo (Item_Furniture_FoodShelf1) components: 0
 - ItemInfo (Item_Furniture_SmallStorage) components: 0
 - ItemInfo (Item_Furniture_FirewoodStorage) components: 0
 - ItemInfo (Item_Furniture_FoodStorage) components: 0
 - ItemInfo (Item_Markers_BuildingResourcesMarker) components: 0
 - ItemInfo (Item_Bait_Berries) components: 0
 - ItemInfo (Item_Bait_FishMeat) components: 0
 - ItemInfo (Item_Bait_RedMeat) components: 0
 - ItemInfo (Item_Totems_RavenL0) components: 0
 - ItemInfo (Item_Furniture_Table1) components: 0
 - ItemInfo (Item_Decoration_GardenLupini) components: 0
 - ItemInfo (Item_Decoration_DecorativeBirch) components: 0
 - ItemInfo (Item_Decoration_GardenLarge) components: 0
 - ItemInfo (Item_Structures_TrainingDummy) components: 0
 - ItemInfo (Item_Structures_CaveEntrance) components: 0
 - ItemInfo (Item_Structures_WarehouseT1) components: 0
 - ItemInfo (Item_Structures_BloomeryL1) components: 0
 - ItemInfo (Item_Bushcraft_Cart) components: 0
 - ItemInfo (Item_Addons_LeatherworkerL1) components: 0
 - ItemInfo (Item_Farming_FarmCrop) components: 0
 - ItemInfo (Item_Addons_LeatherworkerL1) components: 0
 - ItemInfo (Item_WarehouseStorage_SmallFoodSilo) components: 0
 - ItemInfo (Item_Structures_CharcoalMakerL1) components: 0
 - ItemInfo (Item_WarehouseStorage_Logs) components: 0
 - ItemInfo (Item_WarehouseStorage_Longsticks) components: 0
 - ItemInfo (Item_WarehouseStorage_SmallCraftingMaterials) components: 0
 - ItemInfo (Item_WarehouseStorage_Stones) components: 0
 - ItemInfo (Item_WarehouseStorage_Sticks) components: 0
 - ItemInfo (Item_WarehouseStorage_Bark) components: 0
 - ItemInfo (Item_WarehouseStorage_Firewood) components: 0
 - ItemInfo (Item_WarehouseStorage_LeatherScraps) components: 0
 - ItemInfo (Item_Structures_Farm) components: 0
 - ItemInfo (Item_Structures_Dock) components: 0
 - ItemInfo (Item_Structures_Boatbuilder) components: 0
 - ItemInfo (Item_Structures_WoodCutterL2) components: 0
 - ItemInfo (Item_Structures_StoneCutterL2) components: 0
 - ItemInfo (Item_Structures_GathererL2) components: 0
 - ItemInfo (Item_Structures_WorkshopL2) components: 0
 - ItemInfo (Item_Addons_WeaverL2) components: 0
 - ItemInfo (Item_Addons_DyerL2) components: 0
 - ItemInfo (Item_Structures_HouseL2) components: 0
 - ItemInfo (Item_Structures_HunterL2) components: 0
 - ItemInfo (Item_Addons_HouseL2_1x1) components: 0
 - ItemInfo (Item_Structures_WaterWellL1) components: 0
 - ItemInfo (Item_WarehouseStorage_Water) components: 0
 - ItemInfo (Item_WarehouseStorage_MeatHunks) components: 0
 - ItemInfo (Item_WarehouseStorage_Fish) components: 0
 - ItemInfo (Item_WarehouseStorage_Arrows) components: 0
 - ItemInfo (Item_WarehouseStorage_Armor) components: 0
 - ItemInfo (Item_WarehouseStorage_BeamPlankLarge) components: 0
 - ItemInfo (Item_WarehouseStorage_BeamPlankLong) components: 0
 - ItemInfo (Item_WarehouseStorage_BeamPlankSmall) components: 0
 - ItemInfo (Item_WarehouseStorage_CookedFood) components: 0
 - ItemInfo (Item_Structures_CookingHouseL1) components: 0
 - ItemInfo (Item_Structures_TerrainLevelField) components: 0
 - ItemInfo (Item_WarehouseStorage_JotunBlood) components: 0
 - ItemInfo (Item_WarehouseStorage_Dye) components: 0
 - ItemInfo (Item_Walls_GateL0) components: 0
 - ItemInfo (Item_Walls_PlankWallL2) components: 0
 - ItemInfo (Item_WarehouseStorage_WeaponsTools) components: 0
 - ItemInfo (Item_Walls_PlankWallL2) components: 0
 - ItemInfo (Item_Walls_GateL2) components: 0
 - ItemInfo (Item_WarehouseStorage_Thatch) components: 0
 - ItemInfo (Item_Walls_Guardtower) components: 0
 - ItemInfo (Item_Totems_RunestoneFireL0) components: 0
 - ItemInfo (Item_Structures_HealingHouseL1) components: 0
 - ItemInfo (Item_Development_ResourceFire) components: 0
 - ItemInfo (Item_Structures_WorkshopL0) components: 0
 - ItemInfo (Item_Totems_RunestoneWood) components: 0
 - ItemInfo (Item_WarehouseStorage_Seeds) components: 0
 - ItemInfo (Item_WarehouseStorage_ClothingMaterials) components: 0
 - ItemInfo (Item_Structures_FishermanHouseL2) components: 0
 - ItemInfo (Item_Structures_BarracksL1) components: 0
 - ItemInfo (Item_Markers_PatrolMarker) components: 0
 - ItemInfo (Item_WarehouseStorage_IronToolsMaterials) components: 0
 - ItemInfo (Item_WarehouseStorage_Ore) components: 0
 - ItemInfo (Item_WarehouseStorage_Coal) components: 0
 - ItemInfo (Item_Structures_HouseL1Chieftain) components: 0
 - ItemInfo (Item_Furniture_WeaponRack) components: 0
 - ItemInfo (Item_Furniture_ArmorRack) components: 0
 - ItemInfo (Item_Bushcraft_Sled) components: 0
 - ItemInfo (Item_Structures_MarketT1) components: 0
 - ItemInfo (Item_Structures_HealingHouseL1) components: 0
 - ItemInfo (Item_Structures_ArcheryRangeL1) components: 0
 - ItemInfo (Item_Walls_FlimsyFenceShort) components: 0
 - ItemInfo (Item_Decoration_ArchFlimsy) components: 0
 - ItemInfo (Item_Walls_PenGate) components: 0
 - ItemInfo (Item_Totems_RunestoneEarthL0) components: 0
 - ItemInfo (Item_StoneLantern) components: 0
 - ItemInfo (Item_Walls_PlankWallShortL2) components: 0
 - ItemInfo (Item_Totems_StoneJotun) components: 0
 - ItemInfo (Item_Totems_RunestoneAirL0) components: 0
 - ItemInfo (Item_WarehouseStorage_Resin) components: 0
 - ItemInfo (Item_Totems_RunestoneWaterL0) components: 0
 - ItemInfo (Item_Structures_OuthouseL1) components: 0
 - ItemInfo (Item_Structures_ScrapBin) components: 0
 - ItemInfo (Item_Structures_BarberL2) components: 0
 - ItemInfo (Item_Structures_TerrainSplineLevel) components: 0
 - ItemInfo (Item_Structures_TerrainSplineRoad) components: 0
 - ItemInfo (Item_Decoration_YuleTree) components: 0
 - ItemInfo (Item_Structures_ForesterL1) components: 0
 - ItemInfo (Item_Structures_CaveEntranceL2) components: 0
 - ItemInfo (Item_Markers_ForestryMarker) components: 0
 - ItemInfo (Item_Structures_ForesterL2) components: 0
 - ItemInfo (Item_WarehouseStorage_Crawler) components: 0
 - ItemInfo (Item_WarehouseStorage_Explosive) components: 0
 - ItemInfo (Item_Bait_MaggotBP) components: 0
 - ItemInfo (Item_Structures_OutpostL1) components: 0
 - ItemInfo (Item_Addons_OutpostL1Wall1) components: 0
 - ItemInfo (Item_Addons_OutpostL1Wall2) components: 0
 - ItemInfo (Item_Addons_OutpostL1Tower) components: 0
 - ItemInfo (Item_Structures_BuilderHutL1) components: 0
 - ItemInfo (Item_Structures_FarmL2) components: 0
 - ItemInfo (Item_Structures_BloomeryL2) components: 0
 - ItemInfo (Item_Structures_CookingHouseL2) components: 0
 - ItemInfo (Item_Structures_BarracksL2) components: 0
 - ItemInfo (Item_Structures_ArcheryRangeL2) components: 0
 - ItemInfo (Item_Structures_MetalworkerL2) components: 0
 - ItemInfo (Item_Structures_CarpenterL2) components: 0
 - ItemInfo (Item_Structures_WarehouseT2) components: 0
 - ItemInfo (Item_WarehouseStorage_Clothes) components: 0
ItemInfoList (Recipes_Kiln) amount: 0
ItemInfoList (HotItems) amount: 17
 - ItemInfo (Item_SpecialBags_BloomBlockHot) components: 0
 - ItemInfo (Item_Iron_IronBloomHot) components: 1
 - - Components item info (Item_Iron_IronBloom) quantity: 1 chance: 1
 - ItemInfo (Item_Iron_SteelBloomHot) components: 1
 - - Components item info (Item_Iron_SteelBloom) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronBarHot) components: 1
 - - Components item info (Item_Materials_IronBar) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_SteelBarHot) components: 1
 - - Components item info (Item_Materials_SteelBar) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronKnifeBladeHot) components: 1
 - - Components item info (Item_Materials_IronKnifeBlade) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronNailsHot) components: 1
 - - Components item info (Item_Materials_IronNails) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronPickaxeHeadHot) components: 1
 - - Components item info (Item_Materials_IronPickaxeHead) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronSmallAxeHeadHot) components: 1
 - - Components item info (Item_Materials_IronSmallAxeHead) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronSmallHammerHeadHot) components: 1
 - - Components item info (Item_Materials_IronSmallHammerHead) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronSmallBladeHot) components: 1
 - - Components item info (Item_Materials_IronSmallBlade) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronLargeAxeHeadHot) components: 1
 - - Components item info (Item_Materials_IronLargeAxeHead) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronPlateHot) components: 1
 - - Components item info (Item_Materials_IronPlate) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronLargePickaxeHeadHot) components: 1
 - - Components item info (Item_Materials_IronLargePickaxeHead) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronLargeBladeHot) components: 1
 - - Components item info (Item_Materials_IronLargeBlade) quantity: 1 chance: 1
 - ItemInfo (Item_Materials_IronLargeHammerHeadHot) components: 1
 - - Components item info (Item_Materials_IronLargeHammerHead) quantity: 1 chance: 1
